experiment	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	executed_methods	selected_nprobe	selection_achieved	train_recall	train_p50_ms	train_p95_ms	heldout_recall	heldout_p50_ms	heldout_p95_ms	candidates_visited	candidates_scored	lists_probed	build_seconds	index_megabytes	postfilter_ranking_seconds	postfilter_ranking_megabytes	maxrss_megabytes	oracle_method	planner_regret	claim_passed	claim_speedup_p95	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
dimension100k-n100000-d128-clustered-correlated-s0_05-seed53	100000	128	clustered	correlated	0.05	53	exact	exact	0	true	1.0	0.174541	0.205042	1.0	0.170666	0.183458	5000.0	5000.0	0.0	0.976200583	2.9229965209960938	0.833767458	46.166290283203125	753.28125	ivf_prefilter	1.1717956817002457	true	84.41991127822028	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d128-clustered-correlated-s0_05-seed53	100000	128	clustered	correlated	0.05	53	ivf_prefilter	ivf_prefilter	64	true	1.0	0.16675	0.191209	1.0	0.164875	0.177292	5000.0	5000.0	64.0	0.976200583	2.9229965209960938	0.833767458	46.166290283203125	753.28125	ivf_prefilter	1.1717956817002457	true	84.41991127822028	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d128-clustered-correlated-s0_05-seed53	100000	128	clustered	correlated	0.05	53	ivf_postfilter	ivf_postfilter	64	true	1.0	14.574375	20.415916	1.0	12.128375	15.357417	100000.0	100000.0	64.0	0.976200583	2.9229965209960938	0.833767458	46.166290283203125	753.28125	ivf_prefilter	1.1717956817002457	true	84.41991127822028	8.0	16.0	64.0	2.0	0.5	0.5	4
dimension100k-n100000-d128-clustered-correlated-s0_05-seed53	100000	128	clustered	correlated	0.05	53	filter_aware	filter_aware	64	true	1.0	0.199792	0.329	1.0	0.173958	0.195459	5000.0	5000.0	64.0	0.976200583	2.9229965209960938	0.833767458	46.166290283203125	753.28125	ivf_prefilter	1.1717956817002457	true	84.41991127822028	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d128-clustered-correlated-s0_05-seed53	100000	128	clustered	correlated	0.05	53	filter_aware_bound	filter_aware_bound	64	true	1.0	0.171833	0.193625	1.0	0.165334	0.181917	4999.16	4999.16	53.96	0.976200583	2.9229965209960938	0.833767458	46.166290283203125	753.28125	ivf_prefilter	1.1717956817002457	true	84.41991127822028	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d128-clustered-correlated-s0_05-seed53	100000	128	clustered	correlated	0.05	53	auto	exact	0	true	NaN	NaN	NaN	1.0	0.189541	0.20775	5000.0	5000.0	0.0	0.976200583	2.9229965209960938	0.833767458	46.166290283203125	753.28125	ivf_prefilter	1.1717956817002457	true	84.41991127822028	8.0	16.0	64.0	2.0	0.5	0.5	4
dimension100k-n100000-d384-clustered-correlated-s0_05-seed53	100000	384	clustered	correlated	0.05	53	exact	exact	0	true	1.0	0.417875	0.439292	1.0	0.477416	0.494834	5000.0	5000.0	0.0	3.644382208	2.9086227416992188	1.351737625	46.19934844970703	962.03125	exact	1.1742159997089932	true	75.62327755905513	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d384-clustered-correlated-s0_05-seed53	100000	384	clustered	correlated	0.05	53	ivf_prefilter	ivf_prefilter	64	true	1.0	0.424917	0.488666	1.0	0.488625	0.509709	5000.0	5000.0	64.0	3.644382208	2.9086227416992188	1.351737625	46.19934844970703	962.03125	exact	1.1742159997089932	true	75.62327755905513	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d384-clustered-correlated-s0_05-seed53	100000	384	clustered	correlated	0.05	53	ivf_postfilter	ivf_postfilter	64	true	1.0	33.603542	35.014458	1.0	34.664084	38.416625	100000.0	100000.0	64.0	3.644382208	2.9086227416992188	1.351737625	46.19934844970703	962.03125	exact	1.1742159997089932	true	75.62327755905513	8.0	16.0	32.0	2.0	0.5	0.5	4
dimension100k-n100000-d384-clustered-correlated-s0_05-seed53	100000	384	clustered	correlated	0.05	53	filter_aware	filter_aware	64	true	1.0	1.038542	1.399584	1.0	0.48525	0.508	5000.0	5000.0	64.0	3.644382208	2.9086227416992188	1.351737625	46.19934844970703	962.03125	exact	1.1742159997089932	true	75.62327755905513	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d384-clustered-correlated-s0_05-seed53	100000	384	clustered	correlated	0.05	53	filter_aware_bound	filter_aware_bound	64	true	1.0	0.463375	0.6835	1.0	0.486041	0.562209	5000.0	5000.0	61.0	3.644382208	2.9086227416992188	1.351737625	46.19934844970703	962.03125	exact	1.1742159997089932	true	75.62327755905513	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d384-clustered-correlated-s0_05-seed53	100000	384	clustered	correlated	0.05	53	auto	exact	0	true	NaN	NaN	NaN	1.0	0.519083	0.581042	5000.0	5000.0	0.0	3.644382208	2.9086227416992188	1.351737625	46.19934844970703	962.03125	exact	1.1742159997089932	true	75.62327755905513	8.0	16.0	32.0	2.0	0.5	0.5	4
dimension100k-n100000-d768-clustered-correlated-s0_05-seed53	100000	768	clustered	correlated	0.05	53	exact	exact	0	true	1.0	1.079375	1.33025	1.0	1.267375	1.40475	5000.0	5000.0	0.0	8.040599667	2.9443511962890625	1.816018625	45.895660400390625	1259.15625	filter_aware_bound	1.3002212568245604	true	49.62480386349724	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d768-clustered-correlated-s0_05-seed53	100000	768	clustered	correlated	0.05	53	ivf_prefilter	ivf_prefilter	32	true	1.0	0.430666	0.591209	0.9919999999999999	0.500417	0.608417	2481.7	2481.7	32.0	8.040599667	2.9443511962890625	1.816018625	45.895660400390625	1259.15625	filter_aware_bound	1.3002212568245604	true	49.62480386349724	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d768-clustered-correlated-s0_05-seed53	100000	768	clustered	correlated	0.05	53	ivf_postfilter	ivf_postfilter	32	true	1.0	26.28775	29.058125	0.9919999999999999	25.655042	30.07675	49665.64	49665.64	32.0	8.040599667	2.9443511962890625	1.816018625	45.895660400390625	1259.15625	filter_aware_bound	1.3002212568245604	true	49.62480386349724	8.0	16.0	16.0	2.0	0.5	0.5	4
dimension100k-n100000-d768-clustered-correlated-s0_05-seed53	100000	768	clustered	correlated	0.05	53	filter_aware	filter_aware	32	true	1.0	1.390833	1.819334	0.9940000000000001	0.805875	0.887542	3727.08	3727.08	32.0	8.040599667	2.9443511962890625	1.816018625	45.895660400390625	1259.15625	filter_aware_bound	1.3002212568245604	true	49.62480386349724	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d768-clustered-correlated-s0_05-seed53	100000	768	clustered	correlated	0.05	53	filter_aware_bound	filter_aware_bound	32	true	1.0	0.582875	0.92275	0.992	0.525958	0.606083	2624.04	2624.04	32.0	8.040599667	2.9443511962890625	1.816018625	45.895660400390625	1259.15625	filter_aware_bound	1.3002212568245604	true	49.62480386349724	8.0	16.0	0.0	2.0	0.5	0.5	4
dimension100k-n100000-d768-clustered-correlated-s0_05-seed53	100000	768	clustered	correlated	0.05	53	auto	ivf_prefilter	0	true	NaN	NaN	NaN	0.9919999999999999	0.558833	0.788042	2481.7	2481.7	32.0	8.040599667	2.9443511962890625	1.816018625	45.895660400390625	1259.15625	filter_aware_bound	1.3002212568245604	true	49.62480386349724	8.0	16.0	16.0	2.0	0.5	0.5	4
